block_id_v1,er_web,er_web_rescaled,sa_web,sa_web_rescaled,score_v1_web,sm_web,sm_web_rescaled,sp_web,sp_web_rescaled,ve_web,ve_web_rescaled,vg_web,vg_web_rescaled
57,17036.666666666668,74.66666666666667,233823.66666666666,43,61.666666666666664,NA,NA,3736.3333333333335,60.333333333333336,NA,NA,1172.8712565104167,15.666666666666666
58,17036.666666666668,74.66666666666667,233823.11111111112,43,61.888888888888886,NA,NA,3736.3333333333335,60.333333333333336,NA,NA,1180.7816704644097,15.666666666666666
59,17036.666666666668,74.66666666666667,233822,43,62,NA,NA,3736.3333333333335,60.333333333333336,NA,NA,1188.5514119466145,15.833333333333334
60,16711,73,242371.5,45,64,NA,NA,4011,65,NA,NA,1272.7503662109375,17
61,16711,73,242370.5,45,64,NA,NA,4011,65,NA,NA,1236.5842895507812,16.5
62,16533.333333333332,72.33333333333333,263869,48.666666666666664,66.33333333333333,NA,NA,4290,69.33333333333333,NA,NA,1193.3430989583333,16
63,15177,66,210280,39,55,NA,NA,3293,53,NA,NA,1123.5059000651042,14.833333333333334
64,15177,66,210280,39,55,NA,NA,3293,53,NA,NA,1131.3626534598213,15
65,15177,66,210280,39,55,NA,NA,3293,53,NA,NA,1088.7157897949219,14
66,15177,66,210280,39,55,NA,NA,3293,53,NA,NA,1092.5695495605469,14
67,15177,66,210280,39,55,NA,NA,3293,53,NA,NA,1062.1480712890625,14
68,15177,66,210280,39,55,NA,NA,3293,53,NA,NA,1064.8808898925781,14
69,15177,66,210279.83333333334,39,55,NA,NA,3293,53,NA,NA,1027.135498046875,13
70,15177,66,210280,39,55,NA,NA,3293,53,NA,NA,1028.3910217285156,13
71,15177,66,210279.59782608695,39,55,NA,NA,3293,53,NA,NA,1081.753242160963,13.98913043478261
72,16225,71,277060.55555555556,51,65.11111111111111,NA,NA,4172,67,NA,NA,1088.2359008789062,14.11111111111111
73,15177,66,210281,39,55,NA,NA,3293,53,NA,NA,992.3626200358073,12.5
74,15177,66,210279.5,39,55,NA,NA,3293,53,NA,NA,992.1299285888672,12.5
75,15177,66,210278.75,39,55,NA,NA,3293,53,NA,NA,991.9393310546875,12.5
76,15177,66,210278,39,55,NA,NA,3293,53,NA,NA,991.7078857421875,12.5
77,15177,66,210279.14285714287,39,54,NA,NA,3293,53,NA,NA,957.5921282087054,12
78,15177,66,210278.625,39,54,NA,NA,3292.625,53,NA,NA,951.6139068603516,12
79,15177,66,210278,39,54,NA,NA,3292,53,NA,NA,951.6255187988281,12
80,15177,66,210277,39,54,NA,NA,3292,53,NA,NA,949.6783379448784,11.88888888888889
81,15177,66,210279,39,54,NA,NA,3293,53,NA,NA,918.1946105957031,11
82,15177,66,210278,39,54,NA,NA,3292,53,NA,NA,914.4092712402344,11
83,15177,66,210278,39,54,NA,NA,3292,53,NA,NA,910.6574859619141,11
84,15177,66,210277,39,54,NA,NA,3292,53,NA,NA,907.7474517822266,11
85,15177,66,210278,39,54,NA,NA,3292,53,NA,NA,880.4388122558594,11
86,15177,66,210277.33333333334,39,54,NA,NA,3292,53,NA,NA,873.0472412109375,10.333333333333334
87,15875.666666666666,69.33333333333333,254798.13333333333,47,60.86666666666667,NA,NA,3878.0666666666666,62.333333333333336,NA,NA,910.601005045573,11.066666666666666
